934aak7byhb7fsw8934aas442f5smdpo,macOS,,,,,"Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.8,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,,,,Moving walls/Changing reactor volume,Surface chemistry,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,,,,Surface chemistry,,,"New reactor or flow types (for example, transient 1-D or plug flow)",,1D solver - performance,,Reactor networks - robustness,,1,"Having it tell me what's wrong with my chemistry (i.e. why did the ODE solver crash, or whatever)",,Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,Delegating / managing project administrative responsibilities and communication,Adding/removing members from the Scientific Advisory Board,"Yes, a one-time donation","Built-in Python or IPython documentation (help(function), function?)",I use this often,I use this often,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,North America,English,Full-time/Part-time employed by a university or lab,,Northeastern University,It's free.  And open.,I love this question! (despite not answering it),3/9/20 3:21,3/9/20 3:33,b6c0f5a7b0
4n56eed4416hr6hwf07m4n56eenz86ki,macOS,,,,,,,Python,MATLAB,,,,,,Anaconda,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.7,Rarely,A version between 2015a and 2018b,,,,,,,,,,,Clang / Clang++,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,,,,Ideal-molal-solution,,,,,,,Redlich-Kwong,,Constant-density (formerly ‘Incompressible_solid’),,Electron-cloud (formerly ‘metal’),Binary-solution-tabulated,,Constant volume reactors,,,,,,,,,,,,,,,,,Surface chemistry,,,"New thermodynamics, kinetics, or transport models",,Feature and model documentation,,Examples and tutorials,,1,Ability to easily trace python-level function calls to the relevant mathematics in the C++ codebase.,,Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,Delegating / managing project administrative responsibilities and communication,Adding/removing members from the Scientific Advisory Board,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this sometimes,I use this often,I use this often,North America,English,Full-time/Part-time employed by a university or lab,,Colorado School of Mines,Helps make my simulation codes more efficient and robust.,,3/9/20 3:12,3/9/20 3:19,f3e6408f02
3pcu3xeho94or13fmgo3pcu3vu7ufm3r,macOS,,,,,,BSD,Python,,,,,I don’t update,Somebody else manages it for me,Anaconda,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.8,,,,,,,,Visual StudioGnu C/C++ Compilers (gcc/g++),,,Gnu Fortran (gfortran),,Clang / Clang++,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,,,,,Premixed free flame,Burner-stabilized flame,,,,,,"New thermodynamics, kinetics, or transport models",,Equilibrium solvers - performance,,Equilibrium solvers - robustness,,1,,I’m not aware of the Steering Committee,,,,,,"Yes, a one-time donation",Online documentation (https://cantera.org/documentation),I have not heard of this,I have not heard of this,I have not heard of this,I have not heard of this,I have not heard of this,I have not heard of this,,,,,,,,3/6/20 16:34,3/6/20 16:36,e7a2e62949
gbeoi35j09sxzk2295regbeoi35w9xsn,macOS,BSD,Windows 7,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)","Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,MATLAB,C++,C,Fortran,,,,,,,,,,Often,,Rarely,2019a or newer,Often,C++11/C++0x,Nothing,Rarely,OpenFOAM,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Pure-fluid,,,,,,Constant volume reactors,,,,,,Moving walls/Changing reactor volume,,,,,,,Premixed free flame,,,,,,,"New language interfaces (for example, Julia)",,Reactor networks - performance,,Examples and tutorials,,1,Model documentation,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS","Built-in Python or IPython documentation (help(function), function?)",I have not heard of this,I have not heard of this,I have not heard of this,I use this sometimes,I have not heard of this,I have not heard of this,North America,English,Full-time/Part-time employed by a university or lab,,Uconn,Work work work work work,Nothing,3/5/20 14:18,3/5/20 14:32,e7a2e62949
h3s656mrygc53ln0hik2h3s65acyqwhx,macOS,,,,,"Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,,,,,,,,,,,,,Often,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,Moving walls/Changing reactor volume,,,,Solve time-dependent problems,,,Premixed free flame,Burner-stabilized flame,,,,,,Reactor networks - performance,,1D solver - performance,,"New thermodynamics, kinetics, or transport models",,1,Built-in model error/consistency checking,,Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,Delegating / managing project administrative responsibilities and communication,Adding/removing members from the Scientific Advisory Board,"Yes, a recurring donation",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,I use this sometimes,I use this sometimes,I use this often,North America,English,Full-time/Part-time employed by a university or lab,,Oregon State University,Research and teaching,,3/4/20 23:31,3/4/20 23:36,3c4c9bfc66
ym67515uni3m4duym6751lijtazxppbm,,,,Windows 10,,,,,MATLAB,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),,,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,,Constant pressure reactors,Mass flow controllers,Valves,,Wall heat transfer,Moving walls/Changing reactor volume,,Networks with multiple reactors,,Solve time-dependent problems,,,,,,,,,None of the above,MATLAB interface,,"New reactor or flow types (for example, transient 1-D or plug flow)",,Feature and model documentation,,TRUE,Just documentation for matlab,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I have not heard of this,I use this often,Asia,English,Student,,University of Vaasa,engine modelling,NA,,3/13/20 10:17,fQcDCa
6kltf6wic99qjdx3uap6kltijyn96703,,,,,,"Red Hat or its derivatives (Fedora, CentOS, etc.)",,,,,,Fortran,,,,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),,,,,,,,Often,In-house legacy FORTRAN code,,,,Gnu Fortran (gfortran),Intel Fortran,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,,Yes,,,,,,,,Ideal-gas-VPSS,,,,,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,Fortran interface,,Examples and tutorials,,,Updated and Comprehensive Documentation for FORTRAN interface,TRUE,FORTRAN documentation,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Search previous user group posts,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,I have not heard of this,North America,English,Full-time/Part-time employed by a company,,Innovative Scientific Solutions Inc.,For equilibrium calculations,Satisfaction with FORTRAN documentation -- Non-existent and very frustrating,,3/13/20 10:56,fQcDCa
0no00fqysynmxvyqpo0no00o1mmsis4e,,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,C++,,,,,,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.7,,,Rarely,C++11/C++0x,Cannot remember,,,,,,Gnu Fortran (gfortran),,,,,,,,I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,,,,,,,,,,,,,,,,,None of the above,,Constant pressure reactors,Mass flow controllers,Valves,,,,Surface chemistry,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,,,,,,1D solver - robustness,,"New thermodynamics, kinetics, or transport models",,Feature and model documentation,,TRUE,Better debuging tools for developers/contributors.,"Modifications of the governance procedures, 
Adding/removing steering committee members, 
Spending project funds, 
Delegating / managing project administrative responsibilities and communication",Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,Delegating / managing project administrative responsibilities and communication,,"No, but I am aware of NumFOCUS",Search previous user group posts,I use this often,I use this sometimes,I use this often,I use this often,I use this often,I use this often,North America,Mandarin,Full-time/Part-time employed by a university or lab,,Purdue University,Research,"Would you like to propose a project to improve Cantera, and potentially be funded by the organization? Yes.",,3/16/20 16:35,fQcDCa
aeft5sb1qke6chhrt90aeft5s7h2l1ox,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)","Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,C++,,,,,Anaconda,Build from source (via GitHub),,,,,Development version / master branch,Often,3.6,,,Often,C++17,None,,,Visual StudioGnu C/C++ Compilers (gcc/g++),,Intel C/C++,,,Clang / Clang++,,,,,,,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,Sensitivity Analysis,Solve time-dependent problems,,,Premixed free flame,,Counterflow diffusion flame,Counterflow premixed flame,,,,"New reactor or flow types (for example, transient 1-D or plug flow)",,1D solver - robustness,,1D solver - performance,,TRUE,"transient 1D simulations (e.g. spherically expanding flame), analytical (chemical) Jacobian evaluation, some convenience functions from python interface to C++ (e.g. computing quantities like heat release rate for 1D object, using solve=auto for 1D simulations)",I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Browse the source code,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,I use this often,Europe,German,Full-time/Part-time employed by a university or lab,,KIT,Compute diffusion coefficients for 3D turbulent flame simulation,-,,3/16/20 19:47,fQcDCa
0jkdoxnfclspba60v0jkdo8wp6cgbt51,,,,Windows 10,,,,Python,,,,,I don’t update,,,,,,,,2.4 (released Aug. 2018),Sometimes,3.7,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,I'm not sure,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,,,,Moving walls/Changing reactor volume,,Networks with multiple reactors,,,,,,,,,,,None of the above,"New thermodynamics, kinetics, or transport models",,Reactor networks - performance,,Examples and tutorials,,TRUE,No idea,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS","Built-in Python or IPython documentation (help(function), function?)",I use this often,I use this often,I use this sometimes,I have not heard of this,I have not heard of this,I have not heard of this,Europe,English,Student,,Warsaw university of technology,Projects,Reactors,,3/17/20 13:11,fQcDCa
6d6a7e79q6e87qq86d6a7p1gujfr5rbg,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,Ubuntu Personal Package Archive (PPA),,2.4 (released Aug. 2018),Sometimes,3.7,,,,,,,,,,,,,,,,,,,I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,,I'm not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,Python interface,,"New thermodynamics, kinetics, or transport models",,Equilibrium solvers - performance,,TRUE,Supporting multiple Unit Systems other than just SI units,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",Asia,"English, Hindi",Student,,Indian Institute of Technology Patna (student),"Don't really use it much, just am contributing to improve it","The question bank is good enough already, though could have asked about how everyone came to know about Cantera in an attempt to increase it's outreach. And now to answer it, I came across it from GSoC'20 website.",,3/17/20 13:23,fQcDCa
xnpzmymt1hrcjlpxnpzm7qgf7zqf5mjc,,,,,,,Arch,Python,,C++,,,,,Anaconda,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.8,,,Sometimes,I’m not sure,Not sure,,,Visual StudioGnu C/C++ Compilers (gcc/g++),,,,,,,,,,,,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,Reactor networks - robustness,,Feature and model documentation,,Examples and tutorials,,TRUE,Good documentation. I don't think it is poor as is but it's definitely lacking.,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I have not heard of this,I have not heard of this,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,North America,English,Full-time/Part-time employed by a university or lab,,Oregon State University,Research,NA,,3/17/20 15:04,fQcDCa
fthmeqca56gxna906vdfthmeqpnv02eg,,,Windows 7,,,,,Python,MATLAB,,,,I don’t update,,,,,,,,2.3 (released Jan. 2017),Often,3.8,Often,An older version than 2015a,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,,,,,,,,,,,,,Premixed free flame,,,,,,,Reactor networks - performance,,Feature and model documentation,,"New reactor or flow types (for example, transient 1-D or plug flow)",,TRUE,great speed of simulation,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Search previous user group posts,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I have not heard of this,I have not heard of this,I use this sometimes,Asia,English,Full-time/Part-time employed by a university or lab,,LBS,chemical kinetic simulations,nil,,3/18/20 2:10,fQcDCa
mk0jcf3l5fm04mk0voitmhl1w2djpn22,,,,Windows 10,,,,Python,MATLAB,,,,,,Anaconda,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Rarely,3.8,Often,2019a or newer,,,,,,,,,,,,,I'm not sure,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,,Mass flow controllers,Valves,,Wall heat transfer,,,Networks with multiple reactors,,,Solve steady-state problems,,,,,,,,None of the above,Examples and tutorials,,Reactor networks - performance,,Feature and model documentation,,TRUE,"How to use Cantera for folks who know kinetics, but don't know much about computers",I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this often,North America,English,Full-time/Part-time employed by a company,,Linde,Predict performance of reacting sytems,,,3/18/20 12:52,fQcDCa
p4xqtdx19mavmgfriyizp4xqtci6lwpx,,,,Windows 10,,"Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,,,,,,Anaconda,Build from source (via GitHub),"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,Visual StudioGnu C/C++ Compilers (gcc/g++),,Intel C/C++,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,Fixed-stoichiometry,,Fixed-chemical-potential,,,,,Ideal-gas-VPSS,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,Moving walls/Changing reactor volume,,Networks with multiple reactors,Sensitivity Analysis,,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,,,,,,"New thermodynamics, kinetics, or transport models",,"New reactor or flow types (for example, transient 1-D or plug flow)",,Python interface,,TRUE,A Cantera's parallel version.,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this sometimes,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,Europe,English,Student,,"National University of Ireland, Galway",It's an open-source software that allows me to develop my own codes to achieve my research goals.,,,3/18/20 16:15,fQcDCa
j2tnme0yh7beo45izej2tnm3ehawm7lu,,,,Windows 10,,,,Python,,,,,,,Anaconda,Build from source (via GitHub),"Windows binaries (.msi file), downloaded from GitHub",,,,2.3 (released Jan. 2017),Often,3.7,,,,,,,,,Visual Studio,,,Intel Fortran,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,,,,,,,Sensitivity Analysis,,,,Premixed free flame,,,Counterflow premixed flame,,,,Reactor networks - robustness,,Examples and tutorials,,"New reactor or flow types (for example, transient 1-D or plug flow)",,TRUE,"Kinetics, such as model path analysis and reduction","I’m not aware of the Steering Committee, 
Modifications of the governance procedures, 
Adding/removing steering committee members, 
Spending project funds, 
Delegating / managing project administrative responsibilities and communication, 
Adding/removing members from the Scientific Advisory Board",Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,Delegating / managing project administrative responsibilities and communication,Adding/removing members from the Scientific Advisory Board,"No, but I am aware of NumFOCUS",Examples installed with Cantera,I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,I have not heard of this,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,North America,English,Student,,,For  my Research,,,3/18/20 18:12,fQcDCa
pn2ptkfldn2skyd4pn2p6q5bz2kica0o,macOS,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)","Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,C++,,,,,Anaconda,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.7,,,Sometimes,C++11/C++0x,none... I only use c++ interface to integrate w/ other c++ applications,,,,,Intel C/C++,Gnu Fortran (gfortran),,Clang / Clang++,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,,,,,,,,,,,Redlich-Kwong,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,,,Networks with multiple reactors,,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,,,,"New thermodynamics, kinetics, or transport models",,1D solver - robustness,,"New reactor or flow types (for example, transient 1-D or plug flow)",,TRUE,analytic jacobian (for production rates),I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,North America,english,Full-time/Part-time employed by a company,,Cascade Technologies,reactive flow modeling,,,3/19/20 13:37,fQcDCa
d242ln4b6iil3gvaqd0d242g3tkefr9o,,,,Windows 10,,,,Python,,,,,,,,,,,,pip,2.4 (released Aug. 2018),Often,3.5,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,,Yes,,,,,,,,,,,,Redlich-Kwong,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,"New thermodynamics, kinetics, or transport models",,Equilibrium solvers - robustness,,"New language interfaces (for example, Julia)",,TRUE,Peng-Robinson Implimentation,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,Oceania or Non-continental Asia,English,Student,,University of Canterbury,I need an open source physical property estimation tool within python.,What overall could we improve about the experience of using Cantera.,,3/19/20 21:47,fQcDCa
w37dm0c92wshl9w36ojb2yq4geczzf3v,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.5,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,"New thermodynamics, kinetics, or transport models",,Feature and model documentation,,Examples and tutorials,,TRUE,"modeling liquid fuel vaporization, liquid kerosene combustion, more complex flow control (i.e. mass balances for systems like rocket engines)",I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Website examples (https://cantera.org/examples/index.html),I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I have not heard of this,"I have heard of this, but I don't really use it or have only used it once or twice",North America,english,Full-time/Part-time employed by a company,,,attempting to use it in the context of rocket engine combustion,,,3/19/20 22:40,fQcDCa
gtcmqbtna5vj5js6nc60w2gtcmqbh69k,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,Development version / master branch,Often,3.8,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,,Solve time-dependent problems,,,Premixed free flame,,,,,,,1D solver - performance,,1D solver - robustness,,,Adjoint Sensitivity Analysis,TRUE,The ability to specify output units,"Modifications of the governance procedures, 
Spending project funds, 
Delegating / managing project administrative responsibilities and communication",Modifications of the governance procedures,,Spending project funds,Delegating / managing project administrative responsibilities and communication,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this sometimes,I use this sometimes,I use this often,North America,English,Full-time/Part-time employed by a university or lab,,Argonne National Laboratory,It is a great backend chemical kinetics library,,,3/20/20 0:30,fQcDCa
uywbe2us6irai7dazgxuywbehtoabgna,,,,Windows 10,,,,Python,,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,,,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,,,,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,Examples and tutorials,,TRUE,I cannot think of any faeture at this moment - I use Cantera in connection with teaching (unergraduates and graduates),"Modifications of the governance procedures, 
Spending project funds",Modifications of the governance procedures,,Spending project funds,,,"No, but I am aware of NumFOCUS",Examples installed with Cantera,I use this often,I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,Europe,English,Full-time/Part-time employed by a university or lab,,Aalborg University,I use Cantera as part of teaching (unergraduate and graduate) and in connection with PhD projects,"I wished that you asked about the installation of Cantera using Anaconda (AC). My answer would be that I do not use AC and I do not (as yet) want to use in connection with teaching. Why?. I give the students a zip file with all the installation files (Numpy, Matplotlib etc) and include two BAT files and everybody (OK maybe 95%) is up and running in 15 minutes. AC... I dare not think ... sbe Aa (although )    d",,3/20/20 7:52,fQcDCa
fwp5vkt7mpb0dfwp5ceh6rus5ab0svce,,,,Windows 10,,,,Python,MATLAB,,,,I don’t update,,,,,,,,2.3 (released Jan. 2017),Often,2.7,Often,A version between 2015a and 2018b,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,Moving walls/Changing reactor volume,,,Sensitivity Analysis,,,,Premixed free flame,Burner-stabilized flame,,,,,,MATLAB interface,,Examples and tutorials,,1D solver - robustness,,TRUE,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Website examples (https://cantera.org/examples/index.html),I use this often,I have not heard of this,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,North America,english,Student,,,research,,,3/20/20 11:51,fQcDCa
i4wtufaerbxfpfvi4wtuc7eat8ooftmb,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,Moving walls/Changing reactor volume,,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,,,,,,,Reactor networks - performance,,Feature and model documentation,,Examples and tutorials,,TRUE,,I’m not aware of the Steering Committee,,,,,,"Yes, a one-time donation",Online documentation (https://cantera.org/documentation),I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,Asia,Chinese,Full-time/Part-time employed by a university or lab,,"Hunan University, China",Because Cantera is open-source and easy to be coupled with other algorithms written used Python,,,3/22/20 23:41,fQcDCa
